num_languages,language_added,gdp_trillion,gdp_percent,cumulative_gdp_trillion,cumulative_percent
1,English,41.24,35.19,41.24,35.19
2,Chinese (Mandarin),20.71,17.67,61.95,52.86
3,Japanese,4.28,3.65,66.23,56.51
4,German,6.58,5.61,72.81,62.12
5,Hindi,4.13,3.52,76.94,65.64
6,French,3.36,2.87,80.30,68.51
7,Spanish,7.47,6.37,87.77,74.88
8,Italian,2.54,2.17,90.31,77.05
9,Portuguese,2.60,2.22,92.91,79.27
10,Korean,1.86,1.59,94.77,80.86
11,Russian,2.69,2.30,97.46,83.16
12,Arabic,2.19,1.87,99.65,85.03
13,Turkish,1.57,1.34,101.22,86.37
14,Dutch,2.04,1.74,103.26,88.11
15,Indonesian/Malay,1.91,1.63,105.17,89.74
16,Polish,1.04,0.89,106.21,90.63
17,Swedish,0.66,0.56,106.87,91.19
18,Thai,0.56,0.48,107.43,91.67
19,Bengali,0.48,0.41,107.91,92.08
20,Vietnamese,0.48,0.41,108.39,92.49
21,Hebrew,0.61,0.52,109.00,93.01
22,Persian/Farsi,0.36,0.31,109.36,93.32
23,Urdu,0.41,0.35,109.77,93.67
24,Filipino/Tagalog,0.49,0.42,110.26,94.09
25,Romanian,0.42,0.36,110.68,94.45
26,Norwegian,0.52,0.44,111.20,94.89
27,Czech,0.38,0.32,111.58,95.21
28,Danish,0.46,0.39,112.04,95.60
29,Greek,0.28,0.24,112.32,95.84
30,Finnish,0.31,0.26,112.63,96.10
